,track_id,track_name,artist_name,acousticness,valence,danceability,kmeans
7,5hYTyyh2odQKphUbMqc5gN,"How Far I'll Go - From ""Moana""",Alessia Cara,0.157,0.159,0.314,2
8,4pdPtRcBmOSQDlJ3Fk945m,Let Me Love You,DJ Snake,0.0784,0.142,0.476,2
16,04DwTuZ2VBdJCCC5TROn7L,In the Name of Love,Martin Garrix,0.0592,0.196,0.49,2
30,7vRriwrloYVaoAe3a9wJHe,"i hate u, i love u (feat. olivia o'brien)",Garrett Nash,0.687,0.18,0.492,2
35,4TZy1wLyHec06pwgFYDh1a,Mercy,Shawn Mendes,0.137,0.374,0.469,2
49,6M21eWbEw74XDdoQsNIinq,Malaya (Camp Sawi Original Motion Picture Soundtrack),Moira Dela Torre,0.852,0.108,0.374,2
59,4Q4jmPHwu0wrJvqrld0FQ6,I Would Like,Zara Larsson,0.0853,0.297,0.486,2
65,01YEqVPCm0vqRLA9w43bic,Hanggang Kailan,Michael Pangilinan,0.893,0.324,0.404,2
72,2PcbtMoqOlGSzOfyJlkB06,Your Love - Dolce Amore Teleserye Theme,Juris,0.597,0.177,0.52,2
75,6k3b9NQnivP9wUhA7PgbOU,To Love Again,Daryl Ong,0.806,0.19,0.299,2
79,0mqJsNkF3MRtBkRhzVskVX,We Can't Be,Krissy,0.565,0.33,0.516,2
90,0Dljpp52vCmtXi0E94qjfo,"Maybe This Time - From ""Maybe This Time""",Sarah Geronimo,0.705,0.176,0.389,2
134,6vtOX9riyVzwJxj2SYTuES,Terrified,Katharine McPhee,0.202,0.206,0.523,2
150,3vOmmLuvEUgGaVuRsCs2QF,I Was Made For Loving You,Tori Kelly,0.355,0.216,0.374,2
159,3cNjgVBKTJ1SvKhunrCdVy,Please Don't Go,Joel Adams,0.0118,0.235,0.513,2
160,7L605WhF5EGf34ggj87yK6,You And Me,Lifehouse,0.1,0.375,0.461,2
165,1sTUEdVO85YU8Ymk2jeAls,Oh Lord,MiC LOWRY,0.0217,0.377,0.273,2
176,0JzwzRDkwZr8s1WRfNgUqA,Till I Met You,Angeline Quinto,0.689,0.172,0.452,2
182,5hWHHBX801NeP6jpt9mquW,Friend of Mine,Juris,0.649,0.168,0.518,2
