,track_id,track_name,artist_name,instrumentalness,liveness,loudness,kmeans
12,5bZtRlMBU76vHuDOb1GM5u,Perfect Strangers,Jonas Blue,0.0,0.266,-5.012,1
14,3NdDpSvN911VPGivFlV5d0,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1.3e-05,0.325,-8.374,1
15,4b4KcovePX8Ke2cLIQTLM0,All Night,The Vamps,0.0,0.323,-5.098,1
16,04DwTuZ2VBdJCCC5TROn7L,In the Name of Love,Martin Garrix,0.0,0.337,-6.237,1
17,4pLwZjInHj3SimIyN9SnOz,Side To Side,Ariana Grande,0.0,0.292,-5.883,1
27,0B8B8cVRFIG1yznoQe7c9s,Setting Fires,The Chainsmokers,0.0,0.261,-5.751,1
38,1lItf5ZXJc1by9SbPeljFd,Juju on That Beat (TZ Anthem),Zay Hilfigerrr,0.0,0.391,-3.892,1
47,1xznGGDReH1oQq0xzbwXa3,One Dance,Drake,0.00423,0.351,-5.886,1
49,6M21eWbEw74XDdoQsNIinq,Malaya (Camp Sawi Original Motion Picture Soundtrack),Moira Dela Torre,4.66e-06,0.321,-14.847,1
53,4JIo8RztBbELr2gWJ5OGK6,Secret Love Song (feat. Jason Derulo),Little Mix,0.0,0.29,-3.982,1
64,3hB5DgAiMAQ4DzYbsMq1IT,Love Yourself,Justin Bieber,0.0,0.28,-9.828,1
68,7129iqBafaphfc3WPCGC0L,7 Years,Lukas Graham,0.0,0.391,-5.83,1
74,0CNjoQozZP0mB9rKVdrKGx,Toothbrush,DNCE,0.0,0.397,-5.771,1
82,1cG0umU5TKStygKsPFZ9pY,Shed a Light,Robin Schulz,0.0,0.257,-5.244,1
92,69bp2EbF7Q2rqc5N3ylezZ,Sorry,Justin Bieber,0.0,0.299,-3.669,1
96,6OZh916QF8XNunWaP97WEZ,Fast Car,Jonas Blue,0.0,0.307,-6.983,1
103,4ZgZPrrSLi4sIiFkiahuxq,Hanap-Hanap,James Reid,0.0,0.306,-4.614,1
108,4LfkoDOt4mhrbo8Ndk37sQ,Marvin Gaye (feat. Wale) - Remix,Charlie Puth,0.0,0.329,-5.298,1
135,0B0tYbVp7pDQAqKDhgMeaL,Too Good to Say Goodbye,Bruno Mars,0.0,0.35,-6.054,1
152,6cREm4bV7V79Yxdilx9HDo,Once In a While,Timeflies,0.0,0.619,-5.914,1
157,3CJvmtWw2bJsudbAC5uCQk,Hands To Myself,Selena Gomez,2.44e-06,0.342,-7.161,1
159,3cNjgVBKTJ1SvKhunrCdVy,Please Don't Go,Joel Adams,1.94e-05,0.294,-4.868,1
161,6hmhG1b4LEyNuashVvuIAo,Never Forget You,Zara Larsson,9.86e-06,0.269,-5.728,1
175,2XMTqoHHSH0lvuXrvIEdco,Capsize,FRENSHIP,0.155,0.686,-6.244,1
176,0JzwzRDkwZr8s1WRfNgUqA,Till I Met You,Angeline Quinto,2.27e-06,0.361,-8.042,1
206,1qoXYfWILyuN0EatImGlma,"Nothing's Gonna Stop Us Now - From ""Crazy Beautiful You""",Morissette,0.0,0.304,-5.883,1
223,0Zx8khUcEfCFK2AEoIhC92,Don't Leave,Snakehips,0.0,0.256,-3.402,1
237,6gTJaPuj8DT8RjuDJyBgzP,Don't,Ed Sheeran,0.0,0.635,-7.008,1
253,5Ua3GXyHwiSfpNTMjq6m2z,Touch,Little Mix,0.0,0.403,-4.095,1
255,0dPBlz8N0veeceejtuvpPz,ILYSB,LANY,0.0034,0.348,-6.954,1
260,3ebXMykcMXOcLeJ9xZ17XH,Scared to Be Lonely,Martin Garrix,0.0,0.261,-7.786,1
277,1F9SIR4geHCMuZcdkRzvPz,Jeepney,Sponge Cola,0.0,0.52,-5.803,1
281,7qma5iUVCWjcUDnjbElqIh,Thinking Of You,Katy Perry,0.0,0.331,-4.459,1
292,7KlTFTpy7dXLzr2NtLkvG6,Not Today,BTS,1.04e-06,0.923,-3.408,1
298,3os6HRDHJPzcOMPBKOFQeA,I Wanna Be With You,Mandy Moore,1.99e-05,0.468,-3.944,1
314,3a1lNhkSLSkpJE4MSHpDu9,Congratulations,Post Malone,0.0,0.253,-4.183,1
325,7tr2za8SQg2CI8EDgrdtNl,Slide (feat. Frank Ocean & Migos),Calvin Harris,1.21e-06,0.254,-3.299,1
335,2pJZ1v8HezrAoZ0Fhzby92,What Do I Know?,Ed Sheeran,0.0,0.262,-5.69,1
336,0afhq8XCExXpqazXczTSve,Galway Girl,Ed Sheeran,0.0,0.327,-3.374,1
348,2Ce5IyMlVRVvN997ZJjJJA,Selfish (feat. Rihanna),Future,7.64e-06,0.383,-10.044,1
