,track_id,track_name,artist_name,danceability,key,acousticness,kmeans
1,5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,James Arthur,0.358,10.0,0.695,2
2,7BKLCZ1jbUBVqRi2FVlTVw,Closer,The Chainsmokers,0.748,8.0,0.414,2
30,7vRriwrloYVaoAe3a9wJHe,"i hate u, i love u (feat. olivia o'brien)",Garrett Nash,0.492,6.0,0.687,2
39,0YyM8aEdbjGfLWPn6fdcn7,Pasensya Ka Na,Silent Sanctuary,0.696,11.0,0.519,2
40,2wDjpPW3HZdA9quPPmZAMu,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,0.42,10.0,0.494,2
49,6M21eWbEw74XDdoQsNIinq,Malaya (Camp Sawi Original Motion Picture Soundtrack),Moira Dela Torre,0.374,7.0,0.852,2
58,5QVuf1MpdzFtFoJGwcKosa,Stay - On the Wings of Love Teleserye Theme,Daryl Ong,0.562,7.0,0.841,2
60,1a5Yu5L18qNxVhXx38njON,Hear Me Now,Alok,0.788,11.0,0.537,2
65,01YEqVPCm0vqRLA9w43bic,Hanggang Kailan,Michael Pangilinan,0.404,9.0,0.893,2
70,6nxQdXa1uAL0rY72wPZu89,Love Me Now,John Legend,0.495,8.0,0.591,2
75,6k3b9NQnivP9wUhA7PgbOU,To Love Again,Daryl Ong,0.299,9.0,0.806,2
76,29xs643Q96uQLD8f7SxYYw,Sa'yo,Silent Sanctuary,0.567,5.0,0.796,2
83,75JFxkI2RXiU7L9VXzMkle,The Scientist,Coldplay,0.557,5.0,0.731,2
90,0Dljpp52vCmtXi0E94qjfo,"Maybe This Time - From ""Maybe This Time""",Sarah Geronimo,0.389,6.0,0.705,2
95,1MkiRsYBkXbXvdiYvTTiQT,Someday,Nina,0.556,6.0,0.941,2
96,6OZh916QF8XNunWaP97WEZ,Fast Car,Jonas Blue,0.459,9.0,0.453,2
98,6C2nrsOlb3jOUGcJAmPrTA,Tell Me Where It Hurts,MYMP,0.726,7.0,0.702,2
101,0hNduWmlWmEmuwEFcYvRu1,Sunset Lover,Petit Biscuit,0.783,6.0,0.729,2
103,4ZgZPrrSLi4sIiFkiahuxq,Hanap-Hanap,James Reid,0.714,9.0,0.424,2
107,0fioLzGM8ngbD1w6fMmm45,I'm Not The Only One,Sam Smith,0.453,5.0,0.554,2
109,39V6cEoNFwDFRJEOKyj4OR,Let Me Be the One,Julie Anne San Jose,0.587,10.0,0.643,2
111,5rwq6R0Uq0BngM3rdmCeNg,Collide - Acoustic Version,Howie Day,0.582,10.0,0.827,2
115,5nA67Y0XX9JipZwYxX7Gl7,This Town,Niall Horan,0.687,9.0,0.71,2
116,0jdeV5dSB3kUBRqe1xQJbh,True,Ryan Cabrera,0.598,6.0,0.459,2
128,6XmskR1cMfgys1W7dExmgi,With a Smile (feat. Kelly Badon),South Border,0.523,6.0,0.479,2
140,1gVgkQFOKa8Wc1HYsJtPdH,More Than Words,Extreme,0.626,6.0,0.467,2
154,26h6qDR3KtieqIWgnveqmC,Over And Over Again,Nathan Sykes,0.463,8.0,0.957,2
163,3pzjHKrQSvXGHQ98dx18HI,What Do You Mean?,Justin Bieber,0.845,5.0,0.59,2
168,22l6ZMCgWB1wfd1GOBe3wm,Ikaw,Yeng Constantino,0.654,10.0,0.575,2
169,0rFOs9paloAvEtzwDX1Kmc,Bubbly,Colbie Caillat,0.697,9.0,0.603,2
170,14pj36HKHd6c72njvGVPWU,Pusong Ligaw,Jericho Rosales,0.608,7.0,0.645,2
173,0zMzyHAeMvwq5CRstru1Fp,Lost Boy,Ruth B.,0.586,7.0,0.963,2
182,5hWHHBX801NeP6jpt9mquW,Friend of Mine,Juris,0.518,11.0,0.649,2
186,3S0OXQeoh0w6AY8WQVckRW,I'm Yours,Jason Mraz,0.686,11.0,0.595,2
201,1wv76JKLy8fgpIa4n6JuMa,This Time (Original Movie Soundtrack),James Reid,0.552,7.0,0.687,2
210,6MrDG2mrajvQqZBavSJbP6,Sometimes Love Just Ain't Enough,Charice,0.414,10.0,0.737,2
219,6B6aCxSBsECsulzOkJRxGv,If You're Not The One,Daniel Bedingfield,0.688,10.0,0.504,2
225,1VdZ0vKfR5jneCmWIUAMxK,The A Team,Ed Sheeran,0.642,9.0,0.669,2
226,6vSwxzO2Qf4BinHSXRwZJe,Tenerife Sea,Ed Sheeran,0.53,8.0,0.697,2
227,0ecAxY4uqROZWKSUaRVCK7,"Hey Crush - From ""Vince & Kath & James""",Joshua Garcia,0.766,8.0,0.534,2
228,6c1MgHPPSxYnBCA2PbJEUN,Mahal Ko O Mahal Ako,KZ Tandingan,0.69,5.0,0.61,2
229,79yCQrawsilxU56g0UifKQ,Akin Ka Na Lang,The Company,0.819,8.0,0.523,2
231,7D4rSZoga8hqJqNOVcPde1,If We Fall in Love,Yeng Constantino,0.568,5.0,0.782,2
236,1lntL1cI2UIWlxjL5QiN8g,The Other,Lauv,0.38,7.0,0.421,2
241,4kflIGfjdZJW4ot2ioixTB,Someone Like You,Adele,0.559,9.0,0.892,2
246,1Rt8bwO4rqGvgA1UWM1QXx,New York And Back,Leanne & Naara,0.794,7.0,0.644,2
250,1crSsvtU9wZB15dIQXV2QH,Moving On and Getting Over,John Mayer,0.85,6.0,0.591,2
252,0oiCeOPwm4zhwfyIpAE37y,Love on the Weekend,John Mayer,0.718,7.0,0.623,2
255,0dPBlz8N0veeceejtuvpPz,ILYSB,LANY,0.629,5.0,0.492,2
256,6mzF8HvHdVrzJNd8M1uFCS,Beautiful,Crush,0.416,10.0,0.843,2
263,7MYmo0JJJDmu4MZTSAF9y3,On Bended Knee,Boyz II Men,0.631,8.0,0.413,2
268,3XVBdLihbNbxUwZosxcGuJ,If I Ain't Got You,Alicia Keys,0.609,7.0,0.603,2
274,3U7TJUjNz7pgPSfgeGQjsP,Forevermore,Juris,0.276,7.0,0.898,2
