danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.67,0.874,8,-5.221,1,0.0305,0.00231,1.72e-05,0.3,0.789,130.041,3dPtXHP0oXQ4HCWHsOA9js,261013
0.537,0.793,8,-3.446,1,0.04,0.217,0.000361,0.143,0.73,180.029,4BE1OloRc9xwjyqA4wFFuN,242667
0.686,0.902,0,-2.657,0,0.034,0.0591,0.0,0.333,0.901,130.02,7HneEBTvTra2CRYsxgMOAi,198000
0.747,0.666,5,-6.395,1,0.0324,0.146,0.000912,0.0981,0.731,90.008,62Lv9WcrfzJqhvYDbilJy3,258667
0.719,0.87,10,-3.073,1,0.0472,0.321,0.0,0.187,0.732,134.979,0T4AitQuq8IJhWBWuZwkFA,248444
0.714,0.685,0,-10.441,1,0.0437,0.173,0.892,0.821,0.573,164.007,25o1M3Jse81xusDV6WhvC5,50547
0.682,0.669,2,-4.741,1,0.0275,0.283,1e-06,0.145,0.831,81.999,465JzFiajJO59sUrDFsxdC,271440
0.687,0.873,8,-3.852,1,0.0335,0.0545,0.0,0.318,0.884,130.024,08YwAPnX8sygJUXG9rvhDv,198600
0.534,0.794,8,-3.738,1,0.0402,0.334,0.00093,0.159,0.711,179.976,5ptl2PXkiSth54HCuGO7vN,240747
0.748,0.661,5,-6.702,1,0.0334,0.157,0.00102,0.101,0.743,90.003,398dL22bDbKbAmiOnPaq7o,256773
0.725,0.853,10,-3.193,1,0.0516,0.305,0.0,0.115,0.707,134.991,1zd35Y44Blc1CwwVbW3Qnk,248027
0.712,0.817,1,-5.123,1,0.0279,0.0717,7.21e-06,0.146,0.679,100.016,5D9MPWdY2hjSeTIGE5n5kv,243613
0.663,0.871,8,-5.287,1,0.03,0.00299,1.8e-06,0.337,0.826,130.025,6MCjmGYlw6mQVWRFVgBRvB,258840
0.473,0.819,10,-9.577,0,0.0425,0.00249,0.712,0.591,0.827,105.029,1lfK0hVEKdq0k4fFCZvQge,35707
0.627,0.824,1,-3.419,1,0.118,0.0699,6.57e-05,0.31,0.774,169.935,06XQvnJb53SUYmlWIhUXUi,206000
0.715,0.722,5,-4.62,1,0.0348,0.197,0.0,0.114,0.522,89.995,19fhOFi6pNGeZe5uiFlm7c,215333
0.675,0.746,8,-5.531,1,0.0288,0.12,0.0,0.121,0.533,99.99,2pXmohBUnD5Li93sgpbPSg,220201
0.443,0.893,5,-3.496,0,0.154,0.128,0.0,0.328,0.826,127.999,3FUCuf498nFHJXFYR1V9Bd,224067
0.647,0.859,0,-5.558,0,0.0295,0.00496,0.0,0.312,0.78,130.024,0JyJVPi4IBCgj2wTRKb0yN,262154
0.682,0.669,2,-4.741,1,0.0275,0.283,1e-06,0.145,0.831,81.999,6Z5giE5tPV0bRzPVmspK5o,271440
0.705,0.9,5,-3.405,0,0.0954,0.0914,0.0,0.323,0.845,128.029,55O5PJor96At64xOQSWnkc,222000
0.615,0.868,1,-3.571,1,0.105,0.0681,0.0,0.234,0.69,170.054,7M9lc2hHXKQobbHQ31Yg2v,205000
0.662,0.86,7,-3.534,1,0.0286,0.447,0.0,0.339,0.69,100.016,185Wm4Mx09dQG0fUktklDm,212401
0.657,0.926,1,-2.938,0,0.042,0.122,0.0,0.263,0.881,129.999,3uw93CiI34uZlfk8ywep1e,168462
0.72,0.926,8,-5.027,1,0.0297,0.309,0.0,0.0761,0.846,104.997,0yzX8MYYJHw7A3PLvgEc7e,217429
0.726,0.825,10,-4.386,1,0.0468,0.248,0.0,0.263,0.723,135.034,3eGKvQ0eYpyl28lMo8ZT93,248444
0.638,0.868,0,-5.701,0,0.0292,0.0112,0.0,0.342,0.824,130.046,2vwzbB62VEfzCARNu9Nrrm,259661
0.752,0.665,5,-6.537,1,0.0356,0.165,0.000584,0.1,0.739,90.023,33ALvsldNGJduk3Bqr7VjS,256484
0.602,0.882,1,-2.75,1,0.138,0.0795,0.0,0.267,0.76,170.004,6MWSM29PKOAyGPl2Xtnt1j,205355
0.747,0.76,5,-4.472,1,0.04,0.183,0.0,0.243,0.577,90.005,7LrT6Lpn0hOQ58pbBP6D2M,213693
0.701,0.909,5,-2.964,0,0.0798,0.0779,0.0,0.342,0.822,128.027,0IFzGaPDtSVAs4t7eKbUBl,219874
0.685,0.716,2,-4.412,1,0.0293,0.366,0.0,0.129,0.871,81.98,0O0RP8iesLTKxhlEY4MKX6,270801
0.717,0.863,10,-3.075,1,0.0463,0.254,0.0,0.292,0.693,135.036,4lFyU6v8LfzALJps4KZzKy,246199
0.55,0.811,8,-3.739,1,0.0389,0.192,3.24e-05,0.119,0.717,180.058,4L9Iuupn2JTSCHSn8uVdD6,241333
0.763,0.914,5,-3.685,0,0.0288,0.39,0.0,0.106,0.825,104.983,058M95ZRgEcXb4sQzTaEHh,216280
0.666,0.923,5,-2.362,0,0.0712,0.0836,0.0,0.315,0.861,128.014,0UBUg8NU4XJtQqzTPs8Pkr,220253
0.643,0.945,1,-2.095,0,0.0445,0.0889,0.0,0.271,0.853,130.001,1KbDCvjDHrvqURzwB7c10M,166427
0.668,0.814,8,-3.732,1,0.0287,0.109,0.0,0.119,0.584,99.98,2cBAc8f0ueFKSXGQRJRsyN,218853
0.707,0.709,5,-4.293,1,0.033,0.179,0.0,0.142,0.59,89.989,1KiJQAgOCabKSzgQgArFTz,213240
0.598,0.847,1,-2.54,1,0.205,0.0655,9.92e-05,0.307,0.728,169.959,6uhIF5J5Txaie0is2nXdxU,205480
0.698,0.795,10,-4.516,0,0.0337,0.175,0.000752,0.158,0.356,99.987,06Dyf27hoaHiVugKgL7K2Z,201627
0.658,0.872,7,-3.009,1,0.0303,0.42,0.0,0.324,0.664,100.009,0UcjHexmVrLkUOflxPefNe,210507
