track_name,artist_name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Versace on the Floor,Bruno Mars,0.578,0.574,2.0,-6.209,0.0454,0.196,0.0,0.083,0.301,174.152
Say You Won't Let Go,James Arthur,0.358,0.557,10.0,-7.398,0.059,0.695,0.0,0.0902,0.494,85.043
Closer,The Chainsmokers,0.748,0.524,8.0,-5.599,0.0338,0.414,0.0,0.111,0.661,95.01
All We Know,The Chainsmokers,0.662,0.586,0.0,-8.821,0.0307,0.097,0.00272,0.115,0.296,90.0
Don't Wanna Know,Maroon 5,0.783,0.623,7.0,-6.126,0.08,0.338,0.0,0.0975,0.447,100.048
24K Magic,Bruno Mars,0.818,0.803,1.0,-4.282,0.0797,0.034,0.0,0.153,0.632,106.97
Starving,Hailee Steinfeld,0.636,0.633,4.0,-4.23,0.126,0.371,0.0,0.102,0.512,99.721
"How Far I'll Go - From ""Moana""",Alessia Cara,0.314,0.555,9.0,-9.601,0.37,0.157,0.000108,0.067,0.159,179.666
Let Me Love You,DJ Snake,0.476,0.718,8.0,-5.309,0.0576,0.0784,1.02e-05,0.122,0.142,199.864
Starboy,The Weeknd,0.681,0.594,7.0,-7.028,0.282,0.165,3.49e-06,0.134,0.535,186.054
Jumpshot,Dawin,0.909,0.63,6.0,-3.9,0.0852,0.19,0.0,0.0291,0.803,97.027
Cold Water (feat. Justin Bieber & MØ),Major Lazer,0.608,0.798,6.0,-5.092,0.0432,0.0736,0.0,0.156,0.501,92.943
Perfect Strangers,Jonas Blue,0.739,0.833,1.0,-5.012,0.0463,0.35,0.0,0.266,0.699,117.99
Bad Things (with Camila Cabello),Machine Gun Kelly,0.697,0.691,2.0,-4.757,0.146,0.214,0.0,0.185,0.305,137.853
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,0.735,0.451,0.0,-8.374,0.0585,0.0631,1.3e-05,0.325,0.0862,117.973
All Night,The Vamps,0.544,0.809,8.0,-5.098,0.0363,0.0038,0.0,0.323,0.448,145.017
In the Name of Love,Martin Garrix,0.49,0.485,4.0,-6.237,0.0406,0.0592,0.0,0.337,0.196,133.889
Side To Side,Ariana Grande,0.648,0.738,6.0,-5.883,0.247,0.0408,0.0,0.292,0.603,159.145
Call On Me - Ryan Riback Extended Remix,Starley,0.67,0.838,0.0,-4.031,0.0362,0.0604,0.000611,0.159,0.717,104.998
Fresh Eyes,Andy Grammer,0.822,0.544,0.0,-6.797,0.0332,0.562,2.4e-05,0.144,0.861,122.047
By Your Side,Jonas Blue,0.696,0.743,6.0,-3.838,0.0331,0.0778,0.0,0.0581,0.644,122.978
Treat You Better,Shawn Mendes,0.624,0.803,10.0,-4.105,0.246,0.123,0.0,0.114,0.821,166.018
Middle,DJ Snake,0.611,0.7,9.0,-5.331,0.0436,0.0199,0.0,0.0549,0.213,104.981
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,0.72,0.763,9.0,-4.068,0.0523,0.406,0.0,0.18,0.742,101.965
Sila,SUD,0.635,0.376,9.0,-6.1,0.0457,0.0104,0.0,0.109,0.28,124.57
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,0.728,0.563,1.0,-8.053,0.134,0.621,0.0,0.179,0.352,100.017
Just Hold On,Steve Aoki,0.647,0.932,11.0,-3.515,0.0824,0.00383,1.5e-06,0.0574,0.374,114.991
Setting Fires,The Chainsmokers,0.626,0.717,8.0,-5.751,0.0375,0.017,0.0,0.261,0.56,105.039
Don't Let Me Down (feat. Daya),The Chainsmokers,0.542,0.859,11.0,-5.651,0.197,0.16,0.00466,0.137,0.403,159.797
Shout Out to My Ex,Little Mix,0.774,0.739,0.0,-4.022,0.0952,0.0316,5.95e-06,0.119,0.823,126.002
"i hate u, i love u (feat. olivia o'brien)",Garrett Nash,0.492,0.275,6.0,-13.4,0.3,0.687,0.0,0.101,0.18,92.6
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,0.666,0.83,0.0,-5.715,0.0751,0.0123,0.0,0.191,0.702,113.03
Black Beatles,Rae Sremmurd,0.794,0.632,0.0,-6.163,0.0649,0.142,0.0,0.128,0.355,145.926
