features,score,elbow
"['acousticness', 'instrumentalness', 'valence']",0.4584570113261312,4
"['instrumentalness', 'liveness', 'tempo']",0.4533179903862228,2
"['acousticness', 'energy', 'speechiness']",0.5936848755009531,2
"['acousticness', 'danceability', 'instrumentalness']",0.5628151233960637,2
"['energy', 'instrumentalness', 'valence']",0.4011132217288068,2
"['acousticness', 'energy', 'key']",0.4266128464716935,3
"['acousticness', 'danceability', 'tempo']",0.4360367310205421,3
"['danceability', 'instrumentalness', 'tempo']",0.467038326203133,2
"['acousticness', 'danceability', 'liveness']",0.47145515698202556,2
"['instrumentalness', 'key', 'liveness']",0.4284203954873418,2
"['acousticness', 'danceability', 'energy']",0.545592080995792,2
"['acousticness', 'key', 'loudness']",0.40564747485248426,3
"['energy', 'liveness', 'loudness']",0.4097035029004943,2
"['acousticness', 'speechiness', 'valence']",0.403285169685397,4
"['acousticness', 'energy', 'tempo']",0.44664487186900376,3
"['acousticness', 'instrumentalness', 'speechiness']",0.6088060064915481,2
"['acousticness', 'instrumentalness', 'key']",0.49391363138035943,3
"['energy', 'loudness', 'valence']",0.4063835389215991,2
"['energy', 'instrumentalness', 'speechiness']",0.4711844586915609,3
"['instrumentalness', 'liveness', 'loudness']",0.4184394121028958,4
"['energy', 'instrumentalness', 'key']",0.42537799877163535,2
"['acousticness', 'liveness', 'loudness']",0.5442522184187695,2
"['liveness', 'speechiness', 'tempo']",0.40767415988746236,2
"['acousticness', 'danceability', 'loudness']",0.5339948637132973,2
"['instrumentalness', 'key', 'loudness']",0.42383112753408914,2
"['danceability', 'instrumentalness', 'liveness']",0.4083577043872754,5
"['acousticness', 'instrumentalness', 'tempo']",0.5239130578729028,3
"['instrumentalness', 'speechiness', 'valence']",0.4592174132174401,4
"['acousticness', 'energy', 'instrumentalness']",0.6449057598777692,2
"['instrumentalness', 'loudness', 'speechiness']",0.4218302610761263,3
"['energy', 'instrumentalness', 'tempo']",0.44707342344117323,2
"['acousticness', 'energy', 'liveness']",0.555289437728548,2
"['acousticness', 'energy', 'loudness']",0.5883022724414925,2
"['loudness', 'speechiness', 'tempo']",0.40964518144006973,2
"['instrumentalness', 'liveness', 'valence']",0.4212707246039888,5
"['acousticness', 'liveness', 'speechiness']",0.48381213426066155,2
"['danceability', 'speechiness', 'tempo']",0.44116503057206713,2
"['energy', 'loudness', 'speechiness']",0.4217830000316768,2
"['instrumentalness', 'key', 'speechiness']",0.49825461412528754,2
"['acousticness', 'key', 'speechiness']",0.4424933893490646,3
"['energy', 'liveness', 'speechiness']",0.40013849374989285,4
"['instrumentalness', 'loudness', 'tempo']",0.4524587553957199,2
"['energy', 'speechiness', 'tempo']",0.40304454899079384,2
"['acousticness', 'instrumentalness', 'liveness']",0.5407633667322219,2
"['acousticness', 'liveness', 'tempo']",0.4202114475918879,3
"['acousticness', 'energy', 'valence']",0.429621925960917,2
"['acousticness', 'instrumentalness', 'loudness']",0.6118284920996268,2
"['acousticness', 'loudness', 'speechiness']",0.5606463953186347,2
"['instrumentalness', 'key', 'tempo']",0.4211026620375333,6
"['energy', 'instrumentalness', 'liveness']",0.44652128171411315,4
"['instrumentalness', 'liveness', 'speechiness']",0.5159988378388484,3
"['energy', 'instrumentalness', 'loudness']",0.5032107999473637,2
"['danceability', 'energy', 'instrumentalness']",0.4125359581173077,2
"['acousticness', 'danceability', 'speechiness']",0.5064284607898349,2
"['instrumentalness', 'speechiness', 'tempo']",0.5131839657040758,2
"['danceability', 'instrumentalness', 'speechiness']",0.4290743601031812,4
"['acousticness', 'speechiness', 'tempo']",0.46303445649048924,3
"['danceability', 'instrumentalness', 'key']",0.4293620713021872,2
"['acousticness', 'loudness', 'tempo']",0.43509768858110154,3
